,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
hr_pca0,-0.0019460852775980005,-0.022386354921081392,-0.024439483789037823,-0.015163138875101925,-0.034853668300935184,0.025187974450584138,0.001408347845222899,0.0,0.019790949333530816,-0.02398452081247746,0.0010753940701109053,0.008768985586422485,-0.020751506718816166,-0.017484979069017973,-0.020936230800337848,0.005820771495709667,-0.0335682517511582,-0.03352265703097421,-0.01968994826185453,-0.02182980195223769
hr_pca1,0.0,0.056684559228624525,0.08170004226198115,0.0013444694752124324,0.015048474753141054,0.022694512277457633,0.03493713260056267,0.03756711839235777,0.0862548644456744,0.08745426030526014,0.09155413905194336,0.18314596970719324,0.12470720739652054,0.015617078993371471,0.08365136980341528,0.020956707745031607,0.07145249651456673,0.10994899870082868,0.025134310912324823,0.11458274459774383
hr_pca2,-0.0673460846690478,-0.10354168201461435,-0.0703779965561506,-0.004933343500140059,-0.0012327903705475435,-0.11427089912905995,0.007014338167256422,-0.07590798870416712,0.0,0.01549273406820288,-0.14868506115640395,-0.0630603248538126,0.00827977077950735,0.01749087033835113,0.023564021309656628,-0.014570891902557313,-0.13062937680264045,0.0,0.03940349104538727,0.0
hr_pca3,-0.14707903166648287,-0.07924857511357887,-0.0957717159792914,-0.01570978529587289,-0.07574103493418143,-0.09260391620608553,0.0,-0.08798665429088523,-0.21637174646239213,-0.07767109514685015,-0.10280589245271146,-0.08512275320922284,-0.018567346950228457,-0.10574183097626438,-0.11017948808718596,-0.2252783258641581,0.1397078409797254,-0.06358974002606227,-0.14225726422427037,-0.045384654148822694
hr_pca4,-0.3404349081494906,-0.33876312946487874,0.0,-0.2777279532266094,-0.314163560716735,-0.43728747297574966,-0.262407201592621,-0.3672451302856706,-0.26841272537088023,-0.24701869160333087,-0.39201505076429227,-0.1472136383483794,-0.24061614396501096,-0.4566309230717051,-0.2803724259044098,-0.3048668325799293,-0.5686913201725511,-0.41424449819044307,-0.3322947074963887,-0.510669421219694
resp_pca0,0.0,0.02065765165522396,0.06163495891990317,0.018269677107447372,0.021685831037586593,0.01443021137834911,0.06015565043731847,-0.005452052077492784,0.048569452106896095,0.030967641298556583,0.02580350333294094,0.06412006515985381,0.005474768102348059,0.018327749690930702,0.027538899385285812,0.01412201924544439,0.02232171092966956,0.03215786881452104,0.0,0.033081558051017125
resp_pca1,0.03400692226336291,0.031062384492965098,-0.039206532845386804,0.05856971856653272,-0.02634169182123011,-0.007913665247251627,0.009392980543565275,-1.0947502838749694e-05,-0.011291180863676056,-0.012060901774764309,0.0,0.0,0.037943662645937216,-0.03127859657217589,0.0399554655308772,-0.007349082252509679,0.012708496497593492,0.006966429802792421,-0.02092661813273308,0.010145719757264169
resp_pca2,0.0,-0.019938045838508896,-0.042129487966544754,-0.07310138083309556,-0.09871322397579922,-0.06006376088300122,-0.079910508606816,-0.047642301440051625,-0.1081982631319661,-0.016516721377093164,0.018513780534293183,-0.053096229141994786,-0.06448437680126239,-0.044943304631848716,0.06947257175209837,0.0033627730137690604,-0.037067544743345913,0.0010507626781190867,-0.07068189173113407,0.04242452304750726
resp_pca3,0.0924378959311364,-0.0050431867279391845,-0.01434488831585423,0.013189794960295088,0.11320023762009705,-0.0315634693811832,-0.04989677883658125,0.0,0.0838880559652083,0.03215554462633491,0.036578868953248626,-0.009780436711814399,0.025825531287312922,0.0,0.03986137563633872,0.0,0.017859295356083084,0.0973654893894193,0.0,0.0
resp_pca4,0.0,0.0,-0.08963599909074843,-0.059882209382954986,0.0,-0.02273729100664519,0.010333065609558285,-0.06795952911598324,-0.1112652163509813,-0.1824246007492705,-0.0007958881167202003,-0.13638698629777987,0.0,-0.16293276954561245,-0.010137707147861016,-0.05950108347052113,0.08474752780055853,-0.03517131442890974,-0.0028071868483572258,0.0
